sep=,
576,quo vadis,Henryk Sienkiewicz,1895,Henryk Sienkiewicz,35560
500,patricia brent spinster,Herbert Jenkins,1918,Herbert Jenkins,33353
769,the confidence-man,Herman Melville,1857,Herman Melville,21816
760,israel potter,Herman Melville,1855,Herman Melville,15422
142,bartleby the scrivener,Herman Melville,1853,Herman Melville,11231
84,siddhartha,Hermann Hesse,1922,Herman Hesse,2500
210,the odyssey,Homer,720,Homer,1727
184,the iliad,Homer,750,Homer,2199
519,the castle of otranto,Horace Walpole,1764,Horace Walpole,696
207,ragged dick,Horatio Alger Jr.,1868,Horatio Alger,5348
451,the merry adventures of robin hood,Howard Pyle,1883,Howard Pyle,964
550,the red record,Ida B. Wells-Barnett,1895,Ida B. Wells-Barnett,14977
642,the king of schnorrers,Israel Zangwill,1894,Israel Zangwill,38413
942,oblomov,Ivan Goncharov,1859,Ivan Goncharov,54700
202,fathers and sons,Ivan Turgenev,1862,Ivan Sergeevich Turgenev,47935
112,carmilla,J. Sheridan Le Fanu,1872,J. Sheridan LeFanu,10007
914,the lani people,J.F. Bone,1962,J. F. Bone,2509
449,the admirable crichton,J.M. Barrie,1902,J. M. Barrie,3490
92,peter pan,J.M. Barrie,1904,James M. Barrie,16
320,the playboy of the western world,J.M. Synge,1907,J. M. Synge,1240
761,white fang,Jack London,1906,Jack London,910
918,martin eden,Jack London,1909,Jack London,1056
489,the sea wolf,Jack London,1904,Jack London,1074
882,the people of the abyss,Jack London,1903,Jack London,1688
79,the call of the wild,Jack London,1903,Jack London,215
667,alexander the great,Jacob Abbott,1849,Jacob Abbott,30624
768,grimm's fairy tales,Jacob Grimm,1857,Various,52521
294,grimm's fairy stories,Jacob Grimm,1812,Jacob Grimm and Wilhelm Grimm,11027
605,old greek stories,James  Baldwin,1895,James Baldwin,11582
486,figures of earth,James Branch Cabell,2004,James Branch Cabell,11639
265,the last of the mohicans,James Fenimore Cooper,1826,James Fenimore Cooper,940
577,the golden bough,James George Frazer,1890,George Gibbs,41844
105,ulysses,James Joyce,1922,James Joyce,4300
233,a portrait of the artist as a young man,James Joyce,1916,James Joyce,4217
82,dubliners,James Joyce,1914,James Joyce,2814
633,why they married,James Montgomery Flagg,1906,James Montgomery Flagg,23611
662,miracles and supernatural religion,James Morris Whiton,2000,James Morris Whiton,26397
30,mansfield park,Jane Austen,1814,Jane Austen,141
76,lady susan,Jane Austen,1871,Jane Austen,946
2,pride and prejudice,Jane Austen,1813,Jane Austen,1342
25,persuasion,Jane Austen,1817,Jane Austen,105
54,northanger abbey,Jane Austen,1817,Jane Austen,121
32,sense and sensibility,Jane Austen,1811,Jane Austen,161
214,alice in wonderland,Jane Carruth,1865,J.C. Gorham,19551
800,a catalogue of play equipment,Jean Lee Hunt,1918,Jean Lee Hunt,28466
259,daddy-long-legs,Jean Webster,1912,Jean Webster,157
211,dear enemy,Jean Webster,1915,Jean Webster,238
356,just patty,Jean Webster,1911,Jean Webster,21048
339,the four pools mystery,Jean Webster,1908,Jean Webster,21264
334,the wheat princess,Jean Webster,1905,Jean Webster,46761
358,when patty went to college,Jean Webster,1903,Jean Webster,21639
678,viking tales,Jennie Hall,1902,Jennie Hall,24811
287,three men on the bummel,Jerome K. Jerome,1900,Jerome K. Jerome,2183
41,three men in a boat,Jerome K. Jerome,1889,Jerome K. Jerome,308
717,idle thoughts of an idle fellow,Jerome K. Jerome,1886,Jerome K. Jerome,849
729,grace harlowe's first year at overton college,Jessie Graham Flower,1914,Jessie Graham Flower,17988
683,j-k huysmans et le satanisme,Joanny Bricaud,1913,Joanny Bricaud,18085
269,the swiss family robinson,Johann David Wyss,1812,Jean Rudolph Wyss,34808
120,the sorrows of young werther,Johann Wolfgang von Goethe,1774,Johann Wolfgang von Goethe,2527
332,faust,Johann Wolfgang von Goethe,1832,Goethe,14460
626,ten days that shook the world,John   Reed,1919,John Reed,3076
158,the pilgrim's progress,John Bunyan,1678,John Bunyan,131
923,a bullet for cinderella,John D. MacDonald,1955,John D. MacDonald,49931
560,democracy and education,John Dewey,1916,John Dewey,852
802,the beggar's opera,John Gay,1728,John Gay,2421
668,famous men of the middle ages,John Henry Haaren,1904,John H. Haaren and Addison B. Poland,3725
