"Pleasant Talk About Fruits, Flowers and Farming",Henry Ward Beecher  ,56640
The Republic of the Future,Anna Bowman Dodd                         ,56639
Hand Grenades,Graham M. Ainslie,56638
"The Girl's Own Paper, Vol. 20, No. 998, February 11, 1899",Various,56635
"The Monist, Vol. 1, 1890-1891",Various,56634
The City That Was,Stephen Smith,56633
Two Little Women and Treasure House,Carolyn Wells,56632
"The Catholic World, Volume 8",Various,56631
Rome,W. Warde Fowler,56630
"Harper's Young People, March 28, 1882",Various,56629
An Essay on Colophons,Alfred W. Pollard,56628
Johnny Nelson,Clarence E. Mulford,56626
Quaint Korea,Louise Jordan Miln,56623
Aurora Leigh,Elizabeth Barrett Browning,56621
"Ruby Roland, the Girl Spy",Frederick Whittaker,56620
The Friends of Voltaire,S. G. Tallentyre                            ,56618
The Art of Theatrical Make-up,Cavendish Morton                      ,56617
"The Canadian Horticulturist, Volume I",Various,56616
Musical Studies,Ernest Newman,56615
"Village Folk-Tales of Ceylon, Vol. 1 of 3",Henry Parker,56614
History of English Literature,Andrew Lang,56613
My Story,Anson Mills,56612
The Romance of the Romanoffs,Joseph McCabe,56611
"A History of the British Army, Vol. 2 of 2",J. W. Fortescue,56609
Songs Unsung,Lewis Morris,56608
Dauber,John Masefield,56607
A Boy in the Peninsula War,Robert Blakeney,56603
A Text-book of Tanning,Henry R. Procter,56601
Lewis Arundel,Frank E. Smedley,56600
The Fortunes of the Colville Family,Frank E. Smedley,56599
The Legends and Myths of Hawaii,David Kalakaua,56597
The Gilded Man,A. F.  Bandelier                                     ,56596
Head of the Lower School,Dorothea Mary Moore,56594
Contemporary Composers,Daniel Gregory Mason,56593
"Harper's Round Table, March 24, 1896",Various,56589
What a Girl Can Make and Do,Lina Beard and Adelia B. Beard,56588
"The American Missionary, Vol. 35, No. 10, October, 1881",Various,56587
The Use of Ropes and Tackle,H. J. Dana and W. A. Pearl,56585
Daily Training,E. F. Benson                                         ,56584
Patty in the City,Carolyn Wells,56583
The Gentle Persuasion,Alan Gray                                     ,56582
D'Orsay,William Teignmouth Shore,56581
The Countess of Lowndes Square and Other Stories,E. F. Benson       ,56579
The Writings of Thomas Jefferson Vol. 9 of 9,Thomas Jefferson,56578
Adrian Savage,Lucas Malet,56577
Legends of Fire Island Beach and the South Side,Edward Richard Shaw,56576
Poems from the Inner Life,Lizzie Doten                              ,56575
"Graham's Magazine, Vol. 30, No. 6, June 1847",Various,56574
Water Wonders Every Child Should Know,Jean M. Thompson,56572
The Birth of Civilization in the Near East,Henri Frankfort,56571
Breaking into the movies,John Emerson and Anita Loos,56570
"Graham's Magazine, Vol. 30, No. 5, May 1847",Various,56568
"First Love, Vol. 2 of 3",Margracia Loudon,56566
"Graham's Magazine, Vol. 30, No. 4, April 1847",Various,56565
Jaquelina,Mrs. Alex. McVeigh Miller,56564
Her Sailor,Marshall Saunders                                        ,56563
Kidnapped,Robert Louis Stevenson                                    ,56562
The Life and Times of Alfred the Great,Charles Plummer,56557
Peter Poodle - Toy Maker to the King,William Henry Bradley,56556
The Magical Mimics in Oz,Jack Sbow,56555
The Sugar Creek Gang Goes North,Paul Hutchens,56554
The Sugar Creek Gang Digs for Treasure,Paul Hutchens,56553
Patty's Pleasure Trip,Carolyn Wells,56552
The Newspaper,George Binney Dibblee,56551
The Popol Vuh,Lewis Spence,56550
"Graham's Magazine, Vol. 30, No. 3, March 1847",Various,56549
Punainen jumala,Jack London                                         ,56548
'Monsieur Henri',Louise Imogen Guiney,56544
Philipp Reis: Inventor of the Telephone,Silvanus P. Thompson,56542
Miss Parloa's Young Housekeeper,Maria Parloa,56540
"Harper's Round Table, March 3, 1896",Various,56539
"The Naughty Man, or, Sir Thomas Brown",Frank Chapman Bliss,56538
"Graham's Magazine, Vol. 30, No. 2, February 1847",Various,56537
A Life of Walt Whitman,Henry Bryan Binns,56536
"Spain in 1830, vol. 2",Henry D. Inglis                               ,56535
"Spain in 1830, vol. 1",Henry D. Inglis                               ,56534
"Graham's Magazine, Vol. 30, No. 1, January 1847",Various,56531
Literary Landmarks of Venice,Laurence Hutton                        ,56530
After Icebergs with a Painter,Louis Legrand Noble,56529
In a Quiet Village,Sabine Baring-Gould,56527
How the Garden Grew,Maud Maryon,56526
Psychology and Crime,Thomas Holmes                                  ,56524
Mazeppa,Fred Whishaw                                                ,56522
Poems from Eastern Sources,Richard Chenevix Trench                  ,56521
Coppertop,Harold Gaze,56516
Wild Roses,Howard R. Driggs                                         ,56514
The Simple Adventures of a Memsahib,Sara Jeannette Duncan,56513
"Slicko, the Jumping Squirrel",Richard Barnum,56510
The Life and Death of Mrs. Maria Bickford,Silas Wilder              ,56508
"Geographical Distribution of Animals, Vol. 2",Alfred Russel Wallace ,56507
"Geographical Distribution of Animals, Vol. 1",Alfred Russel Wallace ,56506
Historic Bubbles,Frederic Leake                                    ,56505
Proverbs and Their Lessons,Richard Chenevix Trench,56504
Tyburn Tree,Alfred Marks,56503
"Travels to Discover the Source of the Nile, Vol. 4 of 5",James Bruce,56502
Comic history of the United States,Livingston Hopkins,56501
Our Women in the War,Francis Warrington Dawson,56495
Ecclesiastical Vestments,R. A. S. Macalister,56494
"History of Spanish Literature, Vol. 3 of 3",George Ticknor         ,56490
An Apology for the True Christian Divinity,Robert Barclay,56487
The War of Chupas,Pedro de Cieza de Leon,56486
The Future in America,Herbert George Wells,56484
Peanut,Albert Bigelow Paine,56481
Hymns in Human Experience,William John Hart,56480
Hymn Stories of the Twentieth Century,William John Hart,56479
Old Mines of Southern California,California State Mineralogist,56478
The Lady's Country Companion,Jane Webb Loudon,56477
The life of Voltaire,S. G. Tallentyre                               ,56476
"Corporal Tikitanu, V.C.",J. C. Fussell,56471
The Great Pearl Secret,C. N. Williamson and A. M. Williamson,56470
