title,author,number
"The Jesuit Relations and Allied Documents, Vol. IV",Various,47577
The Moon Colony,William Dixon Bell,47576
The Story of a Country Town,Edgar Watson Howe,47575
Dorian Grayn muotokuva,Oscar Wilde,47574
Sosialismi ja individualismi,Oscar Wilde,47573
La vieja verde,Manuel Fernández y González,47572
Neaera,John W. Graham,47571
"Birds and Nature Vol. 11, No. 4, April 1902",Various,47570
"Birds and Nature Vol. 11, No. 3, March 1902",Various,47569
"Birds and Nature Vol. 11, No. 2, February 1902",Various,47568
"Birds and Nature Vol. 11, No. 1, January 1902",Various,47567
"Il Comento alla Divina Commedia, e gli altri scritti                     47566\r\n intorno a Dante, Vol. 3 of 3",Giovanni Boccaccio,NaN
"Il Comento alla Divina Commedia, e gli altri scritti                     47565\r\n intorno a Dante, Vol. 2 of 3",Giovanni Boccaccio,NaN
Twilight Land,Howard Pyle,47564
Jim,Charles G. D. Roberts,47563
The Putnam Hall Encampment,Arthur M. Winfield,47562
"Trelawny of The ""Wells""",Arthur W. Pinero,47561
The Schoolmistress,Arthur W. Pinero,47560
The Prude\'s Progress,"('Jerome K. Jerome', 'Eden Phillpotts')",47559
Pen Pictures,B. F. Craig,47558
"The Wizard\'s Son, Vol. 3 of 3",Margaret Oliphant,47557
"The Wizard\'s Son, Vol. 2 of 3",Margaret Oliphant,47556
"The Wizard\'s Son, Vol. 1 of 3",Margaret Oliphant,47555
Gypsies of the Air,Bess Moyer,47554
Bo,"Blake on a Plantation,",NaN
"L\'Illustration, No. 1600, 25 octobre 1873",Various,47552
Tuhkapöperö,Jacob Fredrik Lagervall,47551
Satu Sallisesta; Uni,Jacob Fredrik Lagervall,47550
Bonnie Scotland,A. R. Hope Moncrieff,47549
Human Bullets,Tadayoshi Sakurai,47548
Reise eines Erdbewohners in den Mars,Carl Ignaz Geiger,47547
Iconoclasts,James Huneker,47546
Kun kansa nousee,Kyösti Wilkuna,47545
Tähtimantteli,Joel Lehtonen,47544
Ett land i kamp,Jarl Hemmer,47543
Mire megvénülünk (2. kötet),Mór Jókai,47542
Mire megvénülünk (1. kötet),Mór Jókai,47541
Ruunulinna,Jacob Fredrik Lagervall,47540
Martti Luther,Agathon Meurman,47539
A Lamp to the Path,W. K. Tweedie,47538
The Marquis D\'Argenson: A Study in Criticism,Arthur Ogle,47537
"The Country\'s Need of Greater Railway Facilities and Terminals,          47536\r\",James Jerome Hill,NaN
"Posthumous Papers of the Pickwick Club, Vol. 2 of 2,                     47535\r\",Charles Dickens,NaN
"Posthumous Papers of the Pickwick Club, Vol. 1 of 2,                     47534\r\",Charles Dickens,NaN
The Forest Farm,Peter Rosegger,47533
The Catacombs of Rome,William Henry Withrow,47532
"Oliver Twist, Vol. III of 3",Charles Dickens,47531
"Oliver Twist, Vol. II of 3",Charles Dickens,47530
"Oliver Twist, Vol. I of 3",Charles Dickens,47529
A Satire Anthology,Various,47528
"Lillian Morris, and Other Stories",Henryk Sienkiewicz,47527
Precious Memories,Various,47526
Aunt Crete\'s Emancipation,Grace Livingston Hill,47525
Elsket and Other Stories,Thomas Nelson Page,47524
The Bishop\'s Apron,W. Somerset Maugham,47523
Légendes démocratiques du Nord,Jules Michelet,47522
"Life and Times of Her Majesty Caroline Matilda,                          47521\r\n Vol. I of III",C. F. Lachelles Wraxall,NaN
Our Pilgrim Forefathers,Loveday A. Nelson,47520
President Heber C. Kimball\'s Journal,Heber C. Kimball,47519
Shakespeare\'s Comedy of The Tempest,William Shakespeare,47518
Desiderius Erasmus of Rotterdam,Ephraim Emerton,47517
Haukansilmä,James Fenimore Cooper,47516
Ulric the Jarl,William O. Stoddard,47515
"L\'Illustration, No. 1599, 18 Octobre 1873",Various,47514
The Flea,Harold Russell,47513
Chats on Old Miniatures,J. J. Foster,47512
Haiti,J. Dryden Kuser,47511
Martta,Theodolinda Hahnsson,47510
An Essay to the Restoring of our Decayed Trade,Joseph Trevers,47509
Wasps,"('George W. Peckham', 'Elizabeth G. Peckham')",47508
Golden Grain,Various,47507
Prize Money,Philip Quincy Wright,50814
Thibaut und Savigny,Jacques Stern,50813
The story of my struggles: the memoirs of Arminius Vambéry,Vol. 1 of 2,50812
What Happened at Quasi,"('George Cary Eggleston', 'H. C. Edwards')",50811
Patience Worth,Casper Salathiel Yost,50810
"Harper\'s Young People, December 27, 1881",Various,50809
Eutropius,Flavius Eutropius,50808
"True Stories of the Great War, Vol. 5 of 6",Various,50807
Pagine sparse,Edmondo De Amicis,50806
A Angora aupres de Mustafa Kemal,Alaeddine Haidar,50805
Kaukainen onni,Arvi Järventaus,50804
"The Mentor: Painters of Western Life, Vol 3, No. 9,                      50803\r\n Serial No. 85, June 15, 1915",Arthur Hoeber,NaN
A City Near Centaurus,Bill Doede,50802
"Narrative and Critical History of America, Vol. 1 of 8",Various,50801
Bimmie Says,Sydney Van Scyoc,50800
The River Motor Boat Boys on the Rio Grande,Harry Gordon,50799
"The Girl\'s Own Paper, Vol. 20, No. 991, December 24, 1898",Various,50798
Tagalog Texts with Grammatical Analysis,Leonard Bloomfield,50797
Shipping Clerk,William Morrison,50796
"The Girl\'s Own Paper, Vol. 20, No. 990, December 17, 1898",Various,50795
The Haunted Ship,Kate Tucker,50794
Cousin Lucy\'s Conversations,Jacob Abbott,50793
The Great Oakdale Mystery,Morgan Scott,50792
The Angevins and the Charter,S. M. Toyne,50791
"Growth of Parliament and the War with Scotland,                          50790\r\",William Dunkeld Robieson,NaN
De Geest van China,Henri Borel,50789
The Truth About German Atrocities,Anonymous,50788
"Chambers\'s Journal of Popular Literature, Science, and Art,              50787\r\n No. 724, November 10, 1877",Various,NaN
"Cours de philosophie positive, Vol. 6 of 6",Auguste Comte,50786
The Land of the Boxers,Gordon Casserly,50785
Novellivalikoima suomalaisten kirjailijain teoksista,Various,50784
The Alien,Raymond F. Jones,50783
Des Imagistes,Various,50782
The Mystery Ship,Percy F. Westerman,50781
"Chambers\'s Journal of Popular Literature, Science, and Art,              50780\r\n No. 723, November 3, 1877",Various,NaN
Die jenische Sprache,Engelbert Wittich,50779
"William of Malmesbury\'s Chronicle of the Kings of England,               50778\r\n With Notes and Illustration",J. A. Giles,NaN
Beautiful Birds,Edmund Selous,50777
A Natural History for Young People: Our Animal Friends                   50776\r\n in Their Native Homes,Phebe Westcott Humphreys,NaN
Twenty Years\' Experience as a Ghost Hunter,Elliott O\'Donnell,50775
Contagion,Katherine MacLean,50774
"The Girl\'s Own Paper, Vol. 20, No. 988, December 3, 1898",Various,50773
Famous Givers and Their Gifts,Sarah Knowles Bolton,50772
Slechte Tijden,Charles Dickens,50771
Wunderwelten,Friedrich Wilhelm Mader,50770
Stone Art,Gerard Fowke,50769
"My Memoirs, Vol. 5, 1831 to 1832",Alexandre Dumas\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50768
Life\'s Dawn on Earth,Sir John William Dawson,50767
The Snowball Effect,Katherine MacLean,50766
"National Geographic Magazine, Vol. 2, No. 1, April, 1890",Various,50765
Colour in the flower garden,Gertrude Jekyll,50764
Oja-Pappalan joulu,Santeri Alkio,50763
Sketches of Fifteen Members of Worcester Fire Society,Isaac Davis,50762
Pitcher Pollock,Christy Mathewson,50761
"Hassan: or, The Child of the Pyramid",Charles Augustus Murray,50760
Grocers\' Goods,Frederick Bartlett Goddard,50759
"New England Historical and Genealogical Register, Vol 1, No. 3,          50758\r\",Various,NaN
La cita,Eduardo Zamacois\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50757
Hatanpään Heikki ja hänen morsiamensa,Evald Ferdinand Jahnsson\xa0\xa0\xa0\xa0\xa0\xa0,50756
"The Most Bitter Foe of Nations, and the Way to Its Permanent             50755\r\n Overthrow",Andrew Dickson White,NaN
Tuhat ja yksi yötä,Anonymous\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50754
Later Than You Think,Fritz Leiber\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50753
Anthropological Survey in Alaska,Ales Hrdlicka,50752
The Teacup Club,Eliza Armstrong,50751
The Officer\'s Manual,Napoleon Bonaparte,50750
Kulmuja II,Väinö Kataja\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50749
Kulmuja I,Väinö Kataja\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50748
"The Expositor\'s Bible; The Book of the Twelve Prophets,\xa0\xa0\xa0               50747\r\n Vol. 2 of 2",George Adam Smith,NaN
"The Girl\'s Own Paper, Vol. 20, No. 987, November 26, 1898",Various,50746
"The Girl\'s Own Paper, Vol. 20, No. 986, November 19, 1898",Various,50745
A British Rifle Man,George Simmons,50744
"Madame Putiphar, Vol. 1 e 2",Petrus Borel,50743
The Story of Beowulf,Unknown,50742
Parittomat,Maria Ramstedt,50741
Vaeltavat teinit,Viktor Rydberg,50740
Our Monthly Devotions,Albert A. Lings,50739
Geneva,Francis Gribble,50738
"Confederate Military History, Vol. 5 of 12",Ellison Capers,50737
Address: Centauri,F. L. Wallace,50736
Too Fat to Fight,Rex Beach,50735
"Report of Mr. Wood\'s Visit to the Choctaw and                            50734\r\n Cherokee Missions, 1855",George W. Wood,NaN
Wij en ons ezeltje,Amy le Feuvre,50733
Rebilius Cruso,Daniel Defoe,50732
The Boys\' Nelson,Harold F. B. Wheeler,50731
"The Fleet. Its Rivers, Prison, and Marriages",John Ashton,50730
"Transhimalaja, Vol. 2 of 2",Sven Anders Hedin,50729
"Transhimalaja, Vol. 1 of 2",Sven Anders Hedin,50728
"Spain, Vol. 2 of 2",Edmondo de Amicis,50727
"Memorias de un Hombre de Acción: #6 La Ruta del Aventurero,              50726\r\",Pío Baroja,NaN
Le mariage de Gabrielle,Daniel Lesueur,50725
William Shakespeare,Georg Brandes,50724
The Demon Cruiser,R. L. Wheeler,50723
Aasian erämaissa,Sven Hedin,50722
"Catholic World, Vol. 17, April, 1873 to September, 1873",Various,50721
Suomalaisen teatterin historia I,Eliel Aspelin-Haapkylä,50720
Juju,Murray Leinster,50719
"Le cycle mythologique irlandais et la mythologie celtique,               50718\r\",Henri d\'Arbois de Jubainville,NaN
La Grande Mademoiselle,Arvede Barine,50717
The German Terror in Belgium,Arnold J. Toynbee,50716
"De Tribus Impostoribus, A. D. 1230",Anonymous,50715
Schriften 23: Novellen 7,Ludwig Tieck,50714
One Against the Moon,Donald A. Wollheim,50713
Will Shakespeare,Clemence Dane,50712
Salliman oikkuja,Santeri Alkio,50711
"Cassell\'s History of England, Vol. 2 of 9",Anonymous,50710
Fromont nuorempi ja Risler vanhempi,Alphonse Daudet,50709
"Lettres du prince de Metternich à la comtesse de Lieven,                 50708\r\n 1818-1819",Klemens Wenzel von Metternich,NaN
Schriften 17: Novellen 1,Ludwig Tieck,50707
The Social Life of the Blackfoot Indians,Clark Wissler,50706
The de Bercy Affair,Gordon Holmes,50705
"National Geographic Magazine, Vol. 1, No. 4, October, 1889",Various,50704
Vuoksen varrella,Martti Wuori,50703
Venus Boy,Lee Sutton,50702
On the Plantation,Joel Chandler Harris,50701
"The Story Teller of the Desert--""Backsheesh!""",Thomas W. Knox,50700
Baled Hay,Bill Nye,50699
My Uncle Florimond,Henry Harland,50698
Teatro Futurista Sintetico,"Filippo Tommaso Marinetti,",50697
Railway Construction,William Hemmingway Mills,50696
Muistelmia vuosien 1808-1809 sodasta,Kaarle Alfred Castrén,50695
Poutaa odottaessa,Väinö Kataja,50694
Battlefields of the Marne 1914,Michelin & Cie,50693
"Letters to Atticus, Vol. 2 of 3",Cicero,50692
Ameisenbüchlein,Christian Gotthilf Salzmann,50691
The Remedy for Unemployment,Alfred Russel Wallace,50690
One in a Thousand,George Payne Rainsford James,50689
De L\'Orme,George Payne Rainsford James,50688
The History of the Twenty-ninth Regiment of Massachusetts                50687\r\n Volunteer Infantry,Willam H. Osborne,NaN
Köyhiä ja rikkaita,Emil Lassinen,50686
The Story of Genesis and Exodus,Unknown,50685
"Matkamuistelmia Persiasta, Mesopotamiasta ja Kaukaasiasta",Sven Hedin,50684
Chad Gadja,Various,50683
The Planet Mappers,E. Everett Evans,50682
"Deutsche Humoristen, Band 6","E. Th. A. Hoffmann, A. Bayersdorfer,",50681
"Chambers\'s Journal of Popular Literature, Science, and Art,              50680\r\n No. 722, October 27, 1877",Various,NaN
"Harper\'s Round Table, December 24, 1895",Various,50679
Snug Harbor,Oliver Optic,50678
Beówulf,Anonymous,50677
The Infidel,Mary Elizabeth Braddon,50676
Geschiedenis van een Neger,Anonymous,50675
Viaggio a Costantinopoli,Tommaso Alberti,50674
"The Mentor: American Mural Painters, Vol. 2, No. 15,                     50673\r\n Serial No. 67, September 15, 1914",Arthur Hoeber,NaN
"The Harmsworth Magazine, Vol. 1, No. 1, 1898-1899",Various,50672
Earth Features and Their Meaning,William Herbert Hobbs,50671
Clio,Anatole France,50670
Weltreise,Various,50669
The Secret Martians,Jack Sharkey,50668
Jörn Uhl,Gustav Frenssen,50667
Songs of the Sea and Lays of the Land,Charles Godfrey Leland,50666
Auguste Rodin,Camille Mauclair,50665
Clio,Anatole France,50664
Vaiti of the Islands,Beatrice Grimshaw,50663
Peeps at Many Lands: England,John Finnemore,50662
Dave Dawson at Singapore,Robert Sydney Bowen,50661
"Encyclopedia of Diet, Vol. 5 of 5",Eugene Christian,50660
Vivian\'s Lesson,Elizabeth W. Grierson,50659
The Feather,Ford H. Madox Hueffer,50658
"The Satires of Juvenal, Persius, Sulpicia, and Lucilius,                 50657\r\","Decimus Junius Juvenal, Aulus Persius Flaccus,",NaN
The Conspiracy of Gianluigi Fieschi,Emanuele Celesia,50656
Yan,Jean Rameau,50655
In the Wonderful Land of Hez,Cornelius Shea,50654
Travels in the interior of Brazil,John Mawe,50653
Pyhän Markuksen leijona,George Alfred Henty,50652
The Young Vigilantes,Samuel Adams Drake,50651
The Lay of the Land,Dallas Lore Sharp,50650
"Istoria civile del Regno di Napoli, Vol. 9 of 9",Pietro Giannone,50649
"Istoria civile del Regno di Napoli, Vol. 8 of 9",Pietro Giannone,50648
"Istoria civile del Regno di Napoli, Vol. 7 of 9",Pietro Giannone,50647
"Istoria civile del Regno di Napoli, Vol. 6 of 9",Pietro Giannone,50646
"Istoria civile del Regno di Napoli, Vol. 5 of 9",Pietro Giannone,50645
"Istoria civile del Regno di Napoli, Vol. 4 of 9",Pietro Giannone,50644
"Istoria civile del Regno di Napoli, Vol. 3 of 9",Pietro Giannone,50643
"Istoria civile del Regno di Napoli, Vol. 2 of 9",Pietro Giannone,50642
"Istoria civile del Regno di Napoli, Vol. 1 of 9",Pietro Giannone,50641
Elements of Surgery,Robert Liston,50640
Romany Life,Frank Cuttriss,50639
Orpheus in de Dessa,Augusta de Wit,50638
The Works of John Dryden,Vol. 18 of,18
Reports of Trials for Murde,"Poisoning,",NaN
Dave Dawson with the Eighth Air Force,Robert Sydney Bowen,50635
Among the Trees Again,Evaleen Stein,50634
Louis XIV et Marie Mancini,Régis de Chantelauze,50633
Herodotoksen historia-teos VII-IX,Herodotus,50632
On Wheels Around the World,H. Darwin McIlrath,50631
"My Memoirs, Vol. 4, 1830 to 1831",Alexandre Dumas,50630
"An Account of the Abipones, an Equestrian People of Paraguay,            50629\r\n Vol. 1 of 3",Martin Dobrizhoffer,NaN
Lexikon baltischer Künstler,Various,50628
Der alte Trapper,James Fenimore Cooper,50627
Manual of Oriental Antiquities,Ernest Babelon\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50626
"Lorenzo De\' Medici, The Magnificent, Vol. 2 of 2",Alfred von Reumont,50625
"Lorenzo De\' Medici, The Magnificent, Vol. 1 of 2",Alfred von Reumont,50624
"An Account of the Abipones, an Equestrian People of Paraguay,            50623\r\n Vol. 3 of 3",Martin Dobrizhoffer,NaN
The Silver Menace,Murray Leinster\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50622
"An Account of the Abipones, an Equestrian People of Paraguay,            50621\r\n Vol. 2 of 3",Martin Dobrizhoffer,NaN
Vagabond Life in Mexico,Gabriel Ferry,50620
"The Sufism of the Rubáiyát, or, the Secret                               50619\r\n of the Great Paradox",Omar Khayyam,NaN
Oxford Days,Frederic Edward Weatherly,50618
Maailman loppu,K. N. Rauhala,50617
Die Technik des Dramas,Gustav Freytag,50616
"The Girl\'s Own Paper, Vol. 20, No. 985, November 12, 1898",Various,50615
Walter Crane\'s Painting Book,Walter Crane,50614
My Short Story Book,Various,50613
Cradle Songs,Various,50612
The Pillar of Fire,Joseph Holt Ingraham,50611
Muoto- ja muistikuvia III,Eliel Aspelin-Haapkylä,50610
Fifteen Years Among the Top-Knots,L. H. Underwood,50609
Wide World Magazine,Various,50608
"Katherine Lauderdale, Vol. 1 of 2",F. Marion Crawford\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50607
Some Eccentrics & a Woman,Lewis Melville,50606
Lettres à Mademoiselle de Volland,Denis Diderot,50605
\r\nThe Phantom Friend,Margaret Sutton,50604
Minute Mysteries,Harold Austin Ripley,50603
The Boy Scouts at the Canadian Border,Lieutenant Howard Payson,50602
Landed Gentry,W. Somerset Maugham\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,50601
How to Make and Set Traps,J. Harrington Keene,50600
Luotsi ja hänen vaimonsa,Jonas Lie,50599
The Dark Frigate,Charles Boardman Hawes,50598
"Flute and Violin and other Kentucky Tales and Romances,                  50597\r\",James Lane Allen,NaN
Quinneys\',Horace Annesley Vachell,50596
Bohemian Grammar,Jaroslav Victor Nigrin,50595
Visages,Francis Chevassu,50594
La chair et le sang,François Mauriac,50593
Songs of Three Counties,Marguerite Radclyffe-Hall,50591
Four in Camp,Ralph Henry Barbour,50590
Some Protective Designs of the Dakota,Clark Wissler,50589
The Fifteen Watt Tungsten Lamp,Clair Elmore Anderson,50588
Vaikea tie,Kyösti Wilkuna,50587
"""Billy"" Sunday",William Ellis,50586
Iberia Won,Terence McMahon Hughes,53855
Forge Work,William L. Ilgen,53854
Språket en spegel av kulturen,Einar Odhner\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53853
Letters to Catherine E. Beecher,Angelina E. Grimké\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53852
Deborah,James M. Ludlow\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53851
Design and Tradition,Amor Fenn\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53850
The Symbolist Movement in Literature,Arthur Symons,53849
La Femme doit-elle voter ? Le pour et le contre,Joseph Ginestou,53848
Merry\'s Book of Puzzles,J. N. Stearns,53847
"Briefe, Aufzeichnungen und Aphorismen. Zweiter Band",Franz Marc,53846
"Briefe, Aufzeichnungen und Aphorismen. Erster Band",Franz Marc,53845
The Land of Oz,L. Frank Baum,53844
Oaths of Allegiance in Colonial New England,Charles Evans,53843
Anakreons sånger,Anacreon,53842
Virgin Saints and Martyrs,S. Baring-Gould,53841
Äiti,Maxim Gorky,53840
Tragic Romances,Fiona Macleod,53839
Virginia of Virginia,Amélie Rives,53838
Antología de prosistas castellanos,Ramón Menéndez Pidal,53837
Intestinal Irrigation,Alcinous B. Jamison,53836
"Light Come, Light Go",Ralph Nevill,53835
"James Oliver Curwood, Disciple of the Wilds",Hobart Donald Swiggett,53834
American Unitarian Hymn Writers and Hymns,Henry Wilder Foote,53833
A Strike in Santa Land,Effa E. Preston,53832
Christmas at Punkin Holler,Elizabeth F. Guptill,53831
"Natchez, Symbol of the Old South",Nola Nance Oliver,53830
"Pagan Ideas of Immortality During the Early Roman Empire,                53829\r\",Clifford Herschel Moore,NaN
"New York Journal of Pharmacy, Vol. 1 of 3, 1852",Various,53828
"The Hospital Bulletin, Vol. 5, No. 2, April 15, 1909",Various,53827
"Janet, or, The Christmas Stockings",Louise Élise Gibbons,53826
Leivän haussa,Henryk Sienkiewicz,53825
Heart Songs,Jean Blewett\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53824
Hygiene des Geschlechtslebens,Max Gruber,53823
Footprints of Abraham Lincoln,J. T. Hobson,53822
"Julius, The Street Boy",Horatio Alger Jr\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53821
A Short History of the Worshipful Company of Horners,H. G. Rosedale,53820
The Coil of Carne,John Oxenham,53819
Poems,Geoffrey Dearmer\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53818
The Goddess of Reason,Mary Johnston,53817
A Book of Christian Sonnets,William Allen,53816
Elizabeth Ann\'s Houseboat,Josephine Lawrence,53815
"A searchlight on Germany: Germany\'s Blunders, Crimes                     53814\r\n and Punishment",William T. Hornaday,NaN
The History of the Maritime Wars of the Turks,Kâtip Çelebi,53813
The Book of Clever Beasts,Myrtle Reed,53812
Rescue the Perishing,Fred Seibert,53811
"The Mysterious Basket, or The Foundling",Anonymous,53810
"Saint John Chrysostom, his Life and Times",W. R. W. Stephens,53809
The Hope of the Katzekopfs,Francis Edward Paget,53808
Glossarium eroticum linguae Latinae,Pierrugues Pierre-Emmanuel,53807
Suburban Residences,Jane Ellen Panton\xa0\xa0\xa0 \xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53806
"Voyage des souverains: Inauguration du Canal de Suez,                    53805\r\","('Gustave Nicole', 'Edouard Riou')",NaN
The Red Fox\'s Son,Edgar M. Dilley,53804
"Report of a special committee of the City Council, on the improvement    53803\r\n of the Fire Department","The City Council of Halifax, Nova Scotia",NaN
Drowsy,John Ames Mitchell,53802
La moglie di Sua Eccellenza,Gerolamo Rovetta,53801
Orpheus and Other Poems,Edward Burrough Brownlow\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53800
A General View of Positivism,Auguste Comte,53799
Ranchos,Javier De Viana,53798
The Dyer\'s Guide,Thomas Packer,53797
Life of Frederick Marryat,David Hannay,53796
The Prince of the House of David,J. H. Ingraham\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53795
Within the Gates,Elizabeth Stuart Phelps\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0,53794
A Literary History of Ireland,Douglas Hyde,53793
"Philosophical Works, Vol. 2 of 4",David Hume,53792
"Philosophical Works, Vol. 1 of 4",David Hume,53791
Sotavanhuksen joulu,Zacharias Topelius,53790
Pikku lordi,Frances Hodgson Burnett,53789
"Elizabeth, Her Folks",Barbara Kay,53788
Renascence,Walter Crane,53787
The Dolls on Dress Parade,Effa E. Preston,53786
The Violin and Old Violin Makers,A. Mason Clarke,53785
Old Melbourne Memories,Rolf Boldrewood,53784
Kuolemantuomitun viimeinen päivä,Victor Hugo,53783
Mestari Olavi,August Strindberg,53782
Weihnachtsabend,Theodor Mügge,53781
Der Weihnacht-Abend,Gustav Schilling,53780
"Vie de Henri Brulard, Tome 2 of 2",Stendhal,53779
First Lessons in Natural Philosophy,Joseph C. Martindale,53778
"Cussons\' Horncastle Compendium, 1837",D. Cussons,53777
"The First Report of the Horncastle Teatotal Society, 1843",Anonymous,53776
Studies in the Book of Revelation,Stephen Alexander Hunter,53775
The Mercer Boys in the Ghost Patrol,Capwell Wyckoff,53774
Eine deutsche Frau im Innern Deutsch-Ostafrikas,Magdalene von Prince,53773
"Eclectic Magazine of Foreign Literature, Science,                        53772\r\n and Art, Vol. 41, No. 5, May 1885",Various,NaN
Bee: The Princess of the Dwarfs,Anatole France,53771
Hymnological Studies,Matthew N. Lundquist,53770
Floreat Etona,Ralph Nevill,53769
Progetto filosofico di una completa riforma del culto e dell             53768\r\n \'educazione politico-morale del popolo ebreo,Aron Fernando,NaN
"The Writings of Thomas Jefferson, Vol. 5 of 9",Thomas Jefferson,53767
Merry Tales,"('Eleanor L. Skinner', 'Ada M. Skinner')",53766
Kabumpo in Oz,Ruth Plumly Thompson,53765
The Tower Menagerie,Edward Turner Bennett,53764
The Intermediate Sex,Edward Carpenter,53763
