title,author,number
In the Bishop\'s Carriage,Miriam Michelson,481
Undo,Joe Hutsko 480C,NaN
Little Lord Fauntleroy,Frances Hodgson Burnett,479
The Cost,David Graham Phillips,478
Criminal Sociolog,Enrico Ferri,477
James Nasmyth: Engineer,An Autobiography,476
In Darkest England and The Way Out,General Booth,475
How to Tell Stories to Children,Sara Cone Bryant,474
Stories to Tell to Children,Sara Cone Bryant,473
The House Behind the Cedars,Charles W. Chesnutt,472
Bride of Lammermoor,Sir Walter Scott,471
Heretics,Gilbert K. Chesterton,470
The Duchesse de Langeais,Honore de Balzac,469
Manon Lescaut,Abbe Prevost,468
The Princess of Cleves,Madame de Lafayette,467
The Gaming Table: Its Votaries and Victims,Andrew Steinmetz,466
The Mountains,Stewart Edward White,465
In the South Seas,Robert Louis Stevenson,464
The Red Badge of Courage,Stephen Crane,463
The Errand Boy,Horation Alger,462
The Quest of the Golden Girl,Richard le Gallienne,461
The Dawn of a To-morrow,Frances Hodgson Burnett,460
The White People,Frances Hodgson Burnett,459
Dreams and Dust,Don Marquis,458
The Price She Paid,David Graham Phillips,457
The Door in the Wall And Other Stories,H. G. Wells,456
The University of Hard Knocks,Ralph Parlette,455
The Breitmann Ballads,Charles G. Leland,454
Emma McChesney & Co.,Edna Ferber,453
Lavengro,George Borrow,452
The Shadow Line,Joseph Conrad,451
Susan Lenox: Her Fall and Rise,David Graham Phillips,450
"Pathology of Lying, Etc","('William', 'Mary Healy')",449
The Psychology of Revolution,Gustave le Bon,448
Maggie: A Girl of the Streets,Stephen Crane,447
A Book of Remarkable Criminals,H. B. Irving,446
"The Crowd, Study of Popular Mind",Gustave le Bon,445
The Philosophy of Misery,P. J. Proudhon,444
The Love Affairs of a Bibliomaniac,Eugene Field,443
Love Songs,Sara Teasdale,442
New Poems,Robert Louis Stevenson,441
Just David,Eleanor H. Porter,440
The Vital Message,Arthur Conan Doyle,439
Underwoods,Robert Louis Stevenson,438
"Life of Lazarillo of Tormes, Parts 1 and 2",Lazarillo of Tormes 437C,NaN
The Master Key,L. Frank Baum,436
"The Miracle Mongers, an Expose",Harry Houdini,435
The Circular Staircase,Mary Roberts Rinehart,434
The Conflict,David Graham Phillips,433
The Ambassadors,Henry James,432
The Fortune Hunter,David Graham Phillips,431
The Grain Of Dust,David Graham Phillips,430
The Magic Egg and Other Stories,Frank Stockton,429
Frivolous Cupid,Anthony Hope,428
The Great War Syndicate,Frank Stockton,427
Tales and Fantasies,Robert Louis Stevenson,426
Familiar Studies of Men and Books,Robert Louis Stevenson,425
General William Booth Enters Into Heaven & Other Poems,Vachel Lindsay,424
Round the Red Lamp,Arthur Conan Doyle,423
The Romany Rye,George Borrow,422
Kidnapped,Robert Louis Stevenson,421
Dorothy and the Wizard in Oz,L. Frank Baum,420
The Magic of Oz,L. Frank Baum,419
A Treatise on Good Works,Dr. Martin Luther,418
"Winesburg, Ohio",Sherwood Anderson,416
The Bible in Spain,George Borrow,415
The Pageant of Summer,Richard Jefferies,414
Ballads,Robert Louis Stevenson,413
Little Journeys to the Homes of Great Business Men: John Jacob Astor       412\r\,Elbert Hubbard,NaN
The King\'s Jackal,Richard Harding Davis,411
\'Hell fer Sartain\' and Other Stories,"John Fox, Jr.",410
Religious and Moral Poems,Phillis Wheatley,409
The Souls of Black Folk,W. E. B. Du Bois,408
The Reporter Who Made Himself King,Richard Harding Davis,407
Appreciations of Richard Harding Davis,Various,406
Adventures and Letters,Richard Harding Davis,405
Industrial Biography,Samuel Smiles,404
Soldiers of Fortune,Richard Harding Davis,403
Penrod,Booth Tarkington,402
Blix,Frank Norris,401
Helen of Troy and Other Poems,Sara Teasdale,400
Cast Upon the Breakers,Horatio Alger,399
First Book of Adam and Eve,Rutherford Platt,398
"L\'Allegro, Il Penseroso, Comus, and Lycidas",John Milton,397
"The Lady, or the Tiger?",Frank R. Stockton,396
The Holy War mad,"Shaddai upon Diabolus,",NaN
Cranford,Elizabeth Cleghorn Gaskell,394
"The Blue Lagoon, A Romance",H. de Vere Stacpoole,393
Jerusalem Delivered,Torquato Tasso,392
The Song of Roland,Anonymous,391
A Lute of Jade,L. Cranmer-Byng,390
The Great God Pan,Arthur Machen,389
The Crossing,Winston Churchill,388
Vailima Letters,Robert Louis Stevenson,387
Virginibus Puerisque,Robert Louis Stevenson,386
The Redheaded Outfield and Other Baseball Stories,Zane Grey,385
The Lost Prince,Frances Hodgson Burnett,384
She Stoops to Conquer,Oliver Goldsmith,383
Edinburgh Picturesque Notes,Robert Louis Stevenson,382
Memories and Portrait,Robert Louis Stevenson,381
Weir of Hermiston,Robert Louis Stevenson,380
Worldly Ways and Byways,Eliot Gregory,379
White Knight: Tirant lo Blanc,Joanot Martorell 378C,NaN
Kansas Women in Literature,Nettie Garmer Barker,377
A Journal of the Plague Year,Daniel Defoe,376
An Occurrence at Owl Creek Bridge,Ambrose Bierce,375
Fantastic Fables,Ambrose Bierce,374
Lay Morals,Robert Louis Stevenson,373
Prince Otto,Robert Louis Stevenson,372
Literary Blunders,Henry Benjamin Wheatley,371
Fortunes and Misfortunes of the Famous Moll Flanders,Daniel Defoe,370
The Outlaw of Torn,Edgar Rice Burroughs,369
Acres of Diamonds,Russell H. Conwell,368
The Country of the Pointed Firs,Sarah Orne Jewett,367
Bab: A Sub-Deb,Mary Roberts Rinehart,366
The Land of Little Rain,Mary Austin,365
The Mad King,Edgar Rice Burroughs,364
The Oakdale Affair,Edgar Rice Burroughs,363
Miss Billy\'s Decision,Eleanor H. Porter,362
Miss Billy Married,Eleanor H. Porter,361
What is Property?,P. J. Proudhon,360
Good Stories For Great Holidays,Frances Jenkins Olcott,359
The Scarlet Car,Richard Harding Davis,358
"A Dream of John Ball, A King\'s Lesson",William Morris,357
Beyond the City,Arthur Conan Doyle,356
The Parasite,Arthur Conan Doyle,355
The Story of a Pioneer,Anna Howard Shaw,354
In Flanders Fields and Other Poems,John McCrae,353
Buttered Side Down,Edna Ferber,352
Of Human Bondage,W. Somerset Maugham,351
Fanny Herself,Edna Ferber,350
The Harvester,Gene Stratton Porter,349
"Hesiod, The Homeric Hymns, and Homerica","('Homer', 'Hesiod')",348
Grettir The Strong,Unknown,347
"The Troll Garden, et al",Willa Cather,346
Dracula,Bram Stoker,345
"The Merry Men, and Other Tales and Fables",Robert Louis Stevenson,344
Fables,Robert Louis Stevenson,343
Margaret Ogilvy,J. M. Barrie,342
Myths and Legends of the Sioux,Marie L. McLaughlin,341
The Soul of the Indian,Charles A. Eastman,340
Old Indian Days,Charles A. Eastman,339
Old Indian Legends,Zitkala-Sa,338
Indian Boyhood,Charles A. Eastman,337
Indian Heroes and Great Chieftains,Charles A. Eastman,336
Frances Waldeaux,Rebecca Harding Davis,335
Episodes in Van Bibber\'s Life,Richard Harding Davis,334
Robert Louis Stevenson,Walter Raleigh,333
The Burial of the Guns,Thomas Nelson Page,332
The Mucker,Edgar Rice Burroughs,331
