"The Essays of ""George Eliot""",George Eliot,28289,http://www.gutenberg.org/files/28289/28289.txt
A Little Tour of France,Henry James,28004,http://www.gutenberg.org/files/28004/28004.txt
Mugby Junction,Charles Dickens,27924,http://www.gutenberg.org/files/27924/27924.txt
Treasure Island,Robert Louis Stevenson,27780,http://www.gutenberg.org/files/27780/27780.txt
The Picture of Dorian Gray,Oscar Wilde,26740,http://www.gutenberg.org/files/26740/26740.txt
Vera,Oscar Wilde,26494,http://www.gutenberg.org/files/26494/26494.txt
Last of the Legions and Other Tales of Long Ago,Arthur Conan Doyle,26153,http://www.gutenberg.org/files/26153/26153.txt
A Small Boy and Others,Henry James,26115,http://www.gutenberg.org/files/26115/26115.txt
The Letters of Charles Dickens,Charles Dickens,25854,http://www.gutenberg.org/files/25854/25854.txt
The Letters of Charles Dickens,Charles Dickens,25853,http://www.gutenberg.org/files/25853/25853.txt
The Letters of Charles Dickens,Charles Dickens,25852,http://www.gutenberg.org/files/25852/25852.txt
In Connection with the De Willoughby Claim,Frances Hodgson Burnett,25810,http://www.gutenberg.org/files/25810/25810.txt
Picture and Text,Henry James,25767,http://www.gutenberg.org/files/25767/25767.txt
Vagabondia,Frances Hodgson Burnett,25727,http://www.gutenberg.org/files/25727/25727-0.txt
The Pretty Sister Of Jose,Frances Hodgson Burnett,25726,http://www.gutenberg.org/files/25726/25726.txt
That Lass O' Lowrie's,Frances Hodgson Burnett,25725,http://www.gutenberg.org/files/25725/25725.txt
A Child's Garden of Verses,Robert Louis Stevenson,25617,http://www.gutenberg.org/files/25617/25617.txt
A Child's Garden of Verses,Robert Louis Stevenson,25611,http://www.gutenberg.org/files/25611/25611.txt
A Child's Garden of Verses,Robert Louis Stevenson,25610,http://www.gutenberg.org/files/25610/25610.txt
A Child's Garden of Verses,Robert Louis Stevenson,25609,http://www.gutenberg.org/files/25609/25609.txt
A Child's Garden of Verses,Robert Louis Stevenson,25608,http://www.gutenberg.org/files/25608/25608.txt
The War in South Africa,Arthur Conan Doyle,24951,http://www.gutenberg.org/files/24951/24951.txt
"Curious, if True",Elizabeth Gaskell,24879,http://www.gutenberg.org/files/24879/24879.txt
Rautakorko,Jack London,24848,http://www.gutenberg.org/cache/epub/24848/pg24848.txt
Sara Crewe,Frances Hodgson Burnett,24772,http://www.gutenberg.org/files/24772/24772.txt
